,species,seizure,early,electrodeNum,meanCorr,mean,varVar,meanVar,delta,theta,alpha,beta,lowGamma,highGamma
Dog_4/Dog_4_interictal_segment_1005.mat,1.0,0.0,0.0,16.0,-0.06058571430548509,4.151956556341929e-15,2282267.229978915,2170.024288455513,78065.9275953125,103737.86478281252,83959.64978281251,548952.1663664061,1099763.4240781248,2797895.460433594
Patient_6/Patient_6_ictal_segment_0155.mat,0.0,1.0,0.0,30.0,0.4970373519260968,2.306842361576856e-13,272962855.87805057,18411.3335089284,3312573.1454466977,3335306.0865666973,3316678.991686698,14929510.151363473,32781989.44792031,98312613.42083757
Patient_2/Patient_2_interictal_segment_2254.mat,0.0,0.0,0.0,16.0,0.9337483247971186,-2.0418156054802247e-13,18112175.59545161,17852.690695579127,2045547.6962324518,2022479.824482452,2006979.848332452,8443874.65667103,15838897.385024505,25704916.86171733
Patient_8/Patient_8_interictal_segment_0321.mat,0.0,0.0,0.0,16.0,0.95546354181056,-2.6063418090416233e-13,27587817.00671808,3897.574333476694,378888.34379498026,635685.5419949803,891902.5039449803,5597372.224852412,2722203.2170748003,10289895.33241196
Dog_3/Dog_3_interictal_segment_4472.mat,1.0,0.0,0.0,16.0,-0.061757094047174416,1.054711873393896e-17,6020.27066441924,192.2377545426065,7930.679040625,4827.440290624999,5707.162165625001,35992.684745312494,69628.83634374996,195194.01705468755
Dog_4/Dog_4_interictal_segment_0369.mat,1.0,0.0,0.0,16.0,-0.06465126934919496,4.179989687713716e-16,19501.20230052167,368.171165805138,18349.545695312503,16270.876320312502,14347.4600703125,56892.02953515625,112814.164140625,346378.6124023439
Dog_2/Dog_2_interictal_segment_0808.mat,1.0,0.0,0.0,16.0,-0.05123931867774672,-6.571410082756299e-15,29386374.402952947,9033.872171444238,364032.5585078125,503856.7835078124,604313.7366328125,2697234.315941406,4173565.035390624,6789672.1294335965
Dog_3/Dog_3_interictal_segment_0161.mat,1.0,0.0,0.0,16.0,-0.061349248537822976,-1.0899614544257471e-15,14309.473821774764,266.97586427005007,7999.600501562499,6873.3980015625,8295.1848765625,18384.026319531247,43470.063140625,200728.59223046887
Dog_3/Dog_3_interictal_segment_1912.mat,1.0,0.0,0.0,16.0,-0.0612328362336548,1.361966095458911e-15,6248.165367440987,203.2479577850877,5932.226164062497,6198.459289062501,3392.2308515625,34383.16930078125,64261.66320312501,166354.92419921875
Dog_3/Dog_3_interictal_segment_2851.mat,1.0,0.0,0.0,16.0,-0.051999530330474115,4.654610030740967e-16,47388.169494987815,313.8709335839598,15227.837253125002,10793.012565624998,8582.762878124999,54463.69170156249,147425.48409374998,276353.08414843737
Patient_3/Patient_3_interictal_segment_0587.mat,0.0,0.0,0.0,55.0,0.1752317704840918,2.9741344902008245e-13,28974489.18651485,2938.2061518005457,248628.5007978631,248811.4040342269,245888.0030705905,1084902.1719722012,2148568.061233171,5114012.815704798
Dog_2/Dog_2_ictal_segment_0037.mat,1.0,1.0,0.0,16.0,-0.05276218452435962,2.9015678748578468e-15,150294879.99632937,23469.179107142856,2045053.8706749997,1213988.308175,1622318.2606749998,4659461.299912498,7951252.618000002,18950238.884187493
Patient_8/Patient_8_interictal_segment_1560.mat,0.0,0.0,0.0,16.0,0.4683965439812505,6.201844371389597e-13,27461530.31824963,4334.520659624423,129938.12748793143,152045.9075379299,116178.78641293109,571435.3200956904,1278510.9268043078,3467112.2340431064
Patient_6/Patient_6_interictal_segment_2354.mat,0.0,0.0,0.0,30.0,0.20405145018841764,-1.30118375333647e-13,44311464.75747873,5997.563659279864,874228.2950788061,875848.1103854727,858888.5708921393,3764786.342941294,7758018.2146813935,18467727.250780497
Patient_2/Patient_2_interictal_segment_0799.mat,0.0,0.0,0.0,16.0,0.3772863981274298,1.58638613356743e-13,147349.61879210995,582.5868181711347,18761.146412089973,18928.49141208996,20548.190037089786,128284.37177940278,499493.7443208918,928644.1226324562
Patient_2/Patient_2_ictal_segment_0066.mat,0.0,1.0,0.0,16.0,0.16975314316772314,-7.639755494892715e-15,18605371.765099447,2887.7028061487313,159307.69391353245,158267.04751353234,178018.65733853218,705505.2286358944,1143454.992710309,2604171.371972085
Patient_8/Patient_8_interictal_segment_0697.mat,0.0,0.0,0.0,16.0,0.2998959056296105,4.7589310270268536e-14,608872972.1383054,9496.110094411413,1244341.5162638952,1206291.228888895,1187166.6412388948,5002380.705587526,11705492.263763955,29332805.17270713
Dog_4/Dog_4_interictal_segment_0390.mat,1.0,0.0,0.0,16.0,-0.05880216490832513,2.7255975254547515e-16,1640466.031600078,1807.0766192825809,87372.04872656247,110824.4771640625,124799.77591406248,570805.1716132811,1064140.8757031248,1392651.027011718
Dog_4/Dog_4_interictal_segment_1163.mat,1.0,0.0,0.0,16.0,-0.0628177714303853,-7.616407504684731e-15,136882.5349664526,672.4899627976191,32446.0690015625,20880.5621265625,15183.4708765625,94478.41378828124,251478.91564062503,604368.921449219
Dog_3/Dog_3_interictal_segment_0489.mat,1.0,0.0,0.0,16.0,-0.06189004378360425,7.394085344003544e-16,6818.379674025684,172.99015037593986,4001.897415625,3696.9574156250014,5112.440853125,20218.4964953125,37394.87853124998,147941.6458046875
Patient_3/Patient_3_interictal_segment_0466.mat,0.0,0.0,0.0,55.0,0.1752317704840918,2.9741344902008245e-13,28974489.18651485,2938.2061518005457,248628.5007978631,248811.4040342269,245888.0030705905,1084902.1719722012,2148568.061233171,5114012.815704798
Dog_2/Dog_2_ictal_segment_0133.mat,1.0,1.0,0.0,16.0,-0.05788632900438389,-2.72076805529764e-14,1242795.7218434806,1405.0738561246865,19516.0257078125,27409.69289531249,19770.7544578125,164862.51037265622,417332.9967656251,1222076.227902344
Patient_5/Patient_5_interictal_segment_2444.mat,0.0,0.0,0.0,64.0,0.11564443860573873,-2.1236985503492164e-13,821561266.9624528,18896.155587539386,2773275.3107146127,2719044.767020863,2814176.2179208617,13349296.65093137,29510895.830602355,81999195.97109236
Patient_8/Patient_8_ictal_segment_0072.mat,0.0,1.0,0.0,16.0,0.06408435515363316,4.198045644443482e-12,4955026397.667345,69496.69644869733,5227900.1920220265,5231997.935372027,5237244.813172027,23514248.92886162,51281570.25849526,152234228.1313431
Patient_7/Patient_7_interictal_segment_2364.mat,0.0,0.0,0.0,36.0,0.4283854571872285,8.767528925091026e-14,65115719.52985178,8834.378615384185,308530.6125282641,311733.2562615975,405483.21985048696,2100787.8747994136,4544184.122004847,11804413.174738353
Patient_6/Patient_6_interictal_segment_2766.mat,0.0,0.0,0.0,30.0,0.20460609841707472,4.908883965981657e-13,82249288.13394238,8043.784132417159,493258.97132728534,492186.7380206185,495423.28235395177,2239949.49019945,4471175.496779517,14622386.394313673
Patient_3/Patient_3_interictal_segment_0011.mat,0.0,0.0,0.0,55.0,0.2092065251699056,4.827763239683755e-14,3683528.900782186,1558.082202206987,127686.40935363813,126657.76592091078,133507.73956454714,637794.5336350084,1935935.069190932,8280444.8103505215
Dog_3/Dog_3_interictal_segment_3562.mat,1.0,0.0,0.0,16.0,-0.05842247476464482,6.055156376305604e-15,242092.97430081753,924.9271968984959,371631.6985781249,107301.782328125,71377.30232812499,276285.01438281237,209492.07015625,254070.85355468746
Patient_2/Patient_2_interictal_segment_2580.mat,0.0,0.0,0.0,16.0,0.5152075645165021,-1.5852492651902138e-13,67825.17812281115,721.6205314312876,21026.015706520462,24058.584606520526,22521.53505652052,95134.1994043422,308786.3259652046,1427401.949354315
Patient_5/Patient_5_interictal_segment_2526.mat,0.0,0.0,0.0,64.0,0.3090154925608374,-4.3193608689762186e-13,260896792.10773897,10402.651032665266,621362.5474552832,635261.9085177836,636064.6981490348,3245271.9145800364,7722773.077634141,17163705.003382966
Dog_3/Dog_3_interictal_segment_0687.mat,1.0,0.0,0.0,16.0,-0.06258796286136785,3.4572344986827367e-15,44526.99650539398,379.5296326754386,10949.6006125,6539.5824875,6274.3018625,41309.529318749985,95584.42737499998,325400.56403125
Patient_6/Patient_6_interictal_segment_1276.mat,0.0,0.0,0.0,30.0,0.27349022771896536,-7.673406798858208e-14,265692754.64118835,14180.012846543978,1091608.7445013241,1036649.1759679904,1047115.0016079908,4840334.703409291,11197265.928999905,30514213.47648641
Dog_1/Dog_1_interictal_segment_0013.mat,1.0,0.0,0.0,16.0,-0.06253214894506916,-1.3519740882372842e-15,16236.39942936354,252.73967966791992,14510.1690875,11673.149087500002,22263.2184625,46112.81651875,87297.18899999997,216769.50678125003
Patient_8/Patient_8_interictal_segment_0752.mat,0.0,0.0,0.0,16.0,0.7045497184958143,-7.294147508218885e-13,2198333445.4704556,45657.44195626883,414329.18284785596,1537009.3436728534,805676.6096228543,2273765.989640348,6790001.564628559,16688274.090141054
Dog_3/Dog_3_interictal_segment_1992.mat,1.0,0.0,0.0,16.0,-0.05449597461772024,-3.7719827261639644e-16,22408.02171950603,241.05135964912282,7349.264100000001,9204.9041,13317.9466,29553.4697,65715.0435,194386.3765
Dog_4/Dog_4_interictal_segment_1642.mat,1.0,0.0,0.0,16.0,-0.062232036927804164,7.685380110089569e-15,77961.10548836218,535.8000054824562,9394.881590624998,8926.568465625,10727.605028125,66952.6462203125,131509.13621874998,489452.9768671874
Dog_2/Dog_2_interictal_segment_0689.mat,1.0,0.0,0.0,16.0,-0.04937891685485853,1.5972223543769816e-14,70252651.5386529,13894.091300125308,137928.036390625,113521.806390625,64570.12514062501,946543.3146953122,1702195.187968751,14945489.153554682
Patient_7/Patient_7_interictal_segment_0372.mat,0.0,0.0,0.0,36.0,0.09259680364422848,-1.4837450774191685e-13,27597790.46548679,5106.916715740927,302646.05455020466,302295.55210576014,376364.60328353796,1571197.256620365,3431591.306724268,6724695.6540084025
Dog_4/Dog_4_interictal_segment_1670.mat,1.0,0.0,0.0,16.0,-0.0622182480781809,5.684341886080801e-16,112585.65117975473,549.6073547149124,18033.3901203125,10706.7669953125,11545.0679328125,83163.27726015625,249763.08495312496,478766.0890898437
Patient_6/Patient_6_ictal_segment_0034.mat,0.0,1.0,0.0,30.0,0.1635779266225737,-3.1249631623116635e-13,112533889.9179416,11855.560110984858,788086.9110454607,786321.6476721272,791866.7692321272,3547383.6503312388,7284387.24680127,15829113.800576815
Dog_4/Dog_4_interictal_segment_0995.mat,1.0,0.0,0.0,16.0,-0.061633798088260465,6.4317995374096894e-15,391517.4561423771,938.1298578477445,16659.2799140625,14316.295226562495,15411.663664062498,54544.55414453126,229429.1632031249,1104908.8737304683
Dog_3/Dog_3_interictal_segment_1273.mat,1.0,0.0,0.0,16.0,-0.058552020111371714,4.357070260141426e-15,116117.84160535393,575.0035808270677,60569.80551250001,26348.9773875,23528.2392625,137776.93793125002,196149.300125,371044.41721875005
Patient_8/Patient_8_interictal_segment_0986.mat,0.0,0.0,0.0,16.0,0.9036785228839368,-1.2455529940780249e-13,1956265478.4932613,203364.66018328426,20092007.330566846,22141365.625241846,25073126.52339185,26564981.75758832,118241608.66351847,342348124.9739258
Dog_3/Dog_3_interictal_segment_1033.mat,1.0,0.0,0.0,16.0,-0.05242696979071383,1.9595436384634003e-15,90355.38893063745,487.6463768796994,50628.596815625,27438.489940625,13879.436190625,132754.67379531247,160606.86659375005,443597.9043046875
Patient_5/Patient_5_interictal_segment_1205.mat,0.0,0.0,0.0,64.0,0.0884029152085125,8.209141810766596e-13,169278440.04003596,8827.09814696752,1924580.4767262198,1898919.89941372,2047502.5852887197,8723279.657255499,19879326.48168724,61466493.56747744
Patient_6/Patient_6_interictal_segment_2595.mat,0.0,0.0,0.0,30.0,0.3277416098109404,1.3035939142961676e-13,33085504.41998405,5407.821678726402,415576.3947261549,404133.79747282155,399579.5028461549,1717188.4719743638,3452425.5209815493,6883277.154502592
Patient_5/Patient_5_interictal_segment_0668.mat,0.0,0.0,0.0,64.0,0.2201583508638548,5.903167732412838e-13,178685513.32899863,9134.949974141084,1709860.635350932,1688168.9442759287,1772251.7158509274,8032179.416829147,37794352.10360915,167376679.7875377
Patient_5/Patient_5_interictal_segment_2204.mat,0.0,0.0,0.0,64.0,0.14176419675485447,-7.081375485995524e-13,198783095.46678627,8978.41358852521,1122997.6986251436,1101232.479362643,1100059.384856394,4788609.246475649,10048886.235276453,30358052.97593533
Patient_1/Patient_1_ictal_segment_0054.mat,0.0,1.0,1.0,68.0,0.08491769327543196,6.515217123973446e-14,8069271614.362675,123866.04285258756,18790712.33943931,16095355.94632167,14442645.695968725,54243697.41797683,111730959.05274588,333974911.86272764
Patient_7/Patient_7_interictal_segment_3172.mat,0.0,0.0,0.0,36.0,0.245093683696976,-1.3093894166457983e-12,28047343.7793366,5487.862932352032,604764.3317478403,619955.4103700632,603162.2173700627,3080330.9060541787,8632475.37276733,20568695.100432336
Dog_2/Dog_2_interictal_segment_0518.mat,1.0,0.0,0.0,16.0,-0.047822990358772265,-3.7315983636432315e-15,5693716.143740715,3460.4293969298246,41648.23175625,97083.04363125,161901.57488125,1040463.6635281248,1691255.7981874992,2572328.035796874
Dog_1/Dog_1_interictal_segment_0025.mat,1.0,0.0,0.0,16.0,-0.0636491486927362,-6.955824805032765e-15,86480.06380128636,604.2183607456141,34748.619937499985,32604.0561875,33201.9386875,96385.98846875,283467.324375,578365.3789062502
Patient_6/Patient_6_interictal_segment_0266.mat,0.0,0.0,0.0,30.0,0.16323256888595086,3.733293851837516e-13,19959503.04263725,4282.8524908155,682168.3333502428,679872.5432302428,681512.5506702429,2993987.963489425,6295833.666075758,16079825.822251655
Dog_4/Dog_4_interictal_segment_0954.mat,1.0,0.0,0.0,16.0,-0.059865308889556185,-2.057187753479184e-14,2916446.9790170714,2823.4206218671693,60604.11348125,67942.14598124997,68808.09410624999,249441.38410312496,799162.6141875002,3238529.0347968754
Dog_2/Dog_2_interictal_segment_0066.mat,1.0,0.0,0.0,16.0,-0.026047676093451957,-9.139911050226593e-16,45594409.47449732,6334.430243577691,290576.33053125,564484.3049062502,797110.4117812501,1420639.0048906254,2866668.0971874995,11205773.68898438
Dog_4/Dog_4_interictal_segment_2362.mat,1.0,0.0,0.0,16.0,-0.052384110778709886,4.910516437917067e-15,204052.53954782878,717.2538529918544,27010.174695312504,25563.5162578125,43486.232820312485,118541.41894140626,201459.05007812497,724777.3728710936
Dog_3/Dog_3_interictal_segment_0090.mat,1.0,0.0,0.0,16.0,-0.04135134668395563,7.249756350802269e-15,170480.84962686562,496.1807123276941,16592.131276562493,15934.009089062498,11611.5197140625,97407.34949453127,267729.1996406251,304237.8429179689
Dog_3/Dog_3_interictal_segment_0577.mat,1.0,0.0,0.0,16.0,-0.0631317473652813,2.023659018135504e-15,7801.872712795234,224.8570954730576,10712.2921453125,7961.1415203125,7069.062770312501,40451.37965390625,78608.58176562501,197325.7514960937
Dog_4/Dog_4_interictal_segment_2555.mat,1.0,0.0,0.0,16.0,-0.05331223949244235,2.6728619317850656e-16,2434186.8778059105,1577.4689054667913,51615.6620765625,46649.39176406249,49146.5727015625,242009.8665320313,584293.8420156251,1384513.3117929688
Dog_3/Dog_3_interictal_segment_0010.mat,1.0,0.0,0.0,16.0,-0.025237979237337945,-3.2185365483883282e-15,443708.81863419025,768.5708846334579,47150.2445890625,60941.0567765625,164353.3980265625,322604.6498695312,403421.89901562507,704107.6285429689
Patient_2/Patient_2_interictal_segment_1403.mat,0.0,0.0,0.0,16.0,0.29077844358416943,6.769369065295907e-13,80116.86529744485,689.9949007626474,42710.72641880936,52386.92181880909,48814.48284380912,190168.0724596422,489235.5257130918,1650223.2112922429
